Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_53740	0	0	0	2	1	0	0	1	1	3	0	1	0	0	1	2	0	1	2	0	1	1	0	0	1	1	4	0	0	1	4	2	2	2	1	4
OTU_53741	0	0	3	0	0	0	5	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	9	2	5	0	0	4	2	0	1	0	3	0
OTU_53744	9	20	0	1	1	3	8	5	3	10	0	2	0	7	0	1	5	110	0	2	1	7	1	0	11	5	0	2	7	32	0	0	1	1	6	0
OTU_53754	0	0	0	1	0	0	0	0	0	13	0	2	0	1	0	0	0	0	1	0	0	0	0	0	9	1	2	7	0	2	4	0	1	4	1	1
OTU_53756	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0
OTU_53757	2	1	1	6	0	1	0	4	0	4	0	8	0	1	7	15	1	7	0	0	0	2	1	5	1	4	28	1	7	11	1	0	1	0	1	0
OTU_53764	18	0	38	4	2	0	11	2	7	1	6	1	5	0	10	1	24	2	39	0	5	2	19	2	4	6	9	3	3	18	8	1	0	1	2	1
OTU_53766	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	2	0	0	0
OTU_53767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0
OTU_53768	3	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
OTU_53769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	140	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_53771	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	2	2
OTU_53772	0	0	0	0	0	1	2	1	0	1	0	0	0	3	0	0	0	0	5	1	0	2	0	0	0	3	1	0	2	0	1	0	0	0	1	0
OTU_53773	16	10	1	0	1	0	3	4	2	1	0	0	0	0	0	1	4	1	0	0	0	0	0	2	11	0	0	4	17	5	8	0	5	0	0	0
OTU_53775	2	1	0	0	1	0	0	0	0	1	0	0	0	0	3	2	2	13	1	5	0	1	4	1	0	2	0	0	0	0	2	4	4	0	0	0
OTU_53779	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	3	2	0	0	0	0	0	0
OTU_53781	1	0	1	1	0	2	1	1	0	0	0	1	0	0	1	0	0	0	1	0	2	5	0	0	4	1	0	1	0	0	0	0	1	0	0	0
OTU_53782	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	2	1	4	0	6	1	0	1	0	1	0
OTU_53783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53784	4	1	1	1	3	0	2	1	0	1	0	0	3	1	0	1	0	1	2	0	0	0	3	1	6	8	3	1	3	6	1	3	5	4	0	0
OTU_53785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
OTU_53787	0	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	2	1	1	1	0	0	0	1	0	0	4
OTU_53789	14	4	8	4	6	0	4	0	1	0	1	2	1	0	1	4	5	1	8	0	0	1	4	0	2	2	1	4	7	0	0	2	4	3	1	1
OTU_53791	36	7	14	10	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	2	41	2	0	12	0	1	0	0	28	0	0	0
OTU_53796	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	6	3	1	0	1	0	0	1	0	2	1	2
OTU_53797	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	3	2	3	0	0	4	0	0	2	1	1	0	0	1	1	0	0	0	0
OTU_53798	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	1	0	2	0	0	0	0
OTU_53799	0	1	0	0	0	0	0	2	0	0	0	0	1	4	1	1	0	1	0	0	0	7	0	0	1	1	1	2	0	2	4	0	1	0	0	0
OTU_53800	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
OTU_53801	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	45	0	0	0	0	0	1	0	0	0	0	1	0	0	1
OTU_53804	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53805	1	4	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	1	0	1	0	1	6	0	1	1	3	1	3	2	2	0	0	0
OTU_53806	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	7	3	1	2	1	2	2	0	5	0	1	0
OTU_53807	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	2	0	0	10	4	4	6	3	0	0	2	4	0	0	2
OTU_53811	0	0	0	1	0	0	2	0	1	0	3	0	0	1	0	2	0	0	0	0	0	3	0	2	1	0	1	0	0	0	0	1	2	0	0	1
OTU_53812	0	0	0	0	1	0	0	0	2	1	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	0	0	0	0
OTU_53813	0	0	1	4	2	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	1	2	0	0	26	1	2	7	2	0	1	5	3	3	0	0
OTU_53814	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
OTU_53816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
OTU_53817	1	2	4	1	1	0	0	0	0	0	1	0	0	1	3	0	2	0	1	0	1	0	0	0	3	0	1	1	1	1	1	0	1	0	0	1
OTU_53818	0	0	0	1	0	0	0	0	0	9	0	6	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	26	0	3	1	4	1	0	0	3
OTU_53819	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	2	1	3
OTU_53821	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	3	0	3	0	3	0	2	1	0	0	1
OTU_53822	0	0	0	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2	0	0	13	11	2	5	2	1	3	3	5	0	0	1
OTU_53824	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1	0	1	7	0	3	1	0	1	0	0	0	0	1	0	0	0	0	2	0
OTU_53826	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53827	1	1	1	6	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	5	0	2	1	1	0	0	0	1	0	4	1	0	3	0	0	4
OTU_53829	0	0	0	5	2	1	0	0	0	4	0	0	0	2	0	0	1	10	3	2	0	0	5	1	3	3	0	0	0	1	0	0	0	0	0	0
OTU_53830	0	0	0	0	4	1	2	0	0	0	2	1	0	1	1	1	0	4	0	3	0	5	0	0	1	0	2	0	2	2	0	2	3	1	7	0
OTU_53835	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0
OTU_53836	0	1	0	2	0	0	19	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
OTU_53837	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_53839	0	0	0	2	0	0	0	0	0	18	1	1	0	2	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	3	1	2	0	0	2	2
OTU_53840	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	3	0	7	0	0	1	0	2	1	0	1	0	1	0	0	1	0	0	0
OTU_53843	1	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	9	0	0	0
OTU_53844	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	2	0	3	0	0	0
OTU_53845	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	5	0	0	0
OTU_53846	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	2	0	0	1	6	2	0	0	1
OTU_53849	0	0	0	2	0	0	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	4	1	0	3	1	1	0	3	0	4	0	1
OTU_53850	0	0	2	4	2	0	0	0	0	1	4	4	3	0	0	0	0	0	2	0	5	3	0	1	12	1	0	3	2	1	0	3	0	1	1	0
OTU_53852	12	6	5	9	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	14	0	0	8	0	1	0	0	9	1	0	0
OTU_53856	0	2	2	0	1	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	3	1	3	1	0	0	1	1	0	0	0	0	0	0	0
OTU_53857	0	0	0	0	2	1	34	16	0	0	0	11	8	17	0	0	9	0	0	0	1	5	4	0	0	2	0	0	46	1	7	0	1	0	12	6
OTU_53861	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0
OTU_53862	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0
OTU_53863	15	6	2	2	0	0	15	15	2	3	3	1	0	0	8	8	4	6	0	0	0	0	1	3	20	5	1	4	12	8	3	13	5	0	3	0
OTU_53873	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	2	0	0	0	1	0
OTU_53874	0	0	0	0	0	0	0	0	5	4	3	1	2	3	0	2	0	0	0	0	1	0	1	0	0	2	3	0	1	2	2	1	1	0	1	2
OTU_53875	11	9	11	8	0	0	0	1	0	0	0	0	0	1	0	0	3	0	2	0	0	0	1	0	25	2	0	3	1	0	0	0	9	1	0	0
OTU_53876	0	0	0	4	7	0	0	0	0	3	4	6	0	3	0	4	0	0	3	0	4	11	0	0	12	8	30	16	1	3	10	7	3	7	1	3
OTU_53879	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	1	0	0	0	0	2	0	0	0	0	0	0	0	1
OTU_53880	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	8	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0
OTU_53881	3	13	0	0	1	0	4	6	4	9	0	0	0	6	0	2	1	28	0	0	1	1	0	0	1	2	1	2	4	22	6	0	1	1	2	2
OTU_53884	3	1	4	1	2	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	4	0	1	0	2	0	0	0
OTU_53886	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	6	0	0	1	4	0	0	0	0	0	0	0	0	1	0	0	0
OTU_53887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0
OTU_53889	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	3	0	2	1	2	0	0	3	0	0	3	1	0	0
OTU_53891	0	0	0	0	0	0	1	3	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5	4	3	5	0	1	0	0	0
OTU_53893	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	2	0	0	0	0	0	2
OTU_53894	0	0	0	0	2	17	0	0	2	0	1	0	0	1	0	1	0	19	0	2	1	1	1	1	0	1	0	0	0	0	0	2	1	0	0	0
OTU_53896	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	5	0	1	1	0	1	0	0	1	3	0
OTU_53899	0	0	2	2	0	0	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	2	1	0	1	1	0	1	0
OTU_53900	5	9	3	4	1	0	4	6	0	1	0	0	0	1	1	6	7	0	3	2	0	0	3	1	2	4	0	1	5	3	2	0	0	0	0	0
OTU_53902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
OTU_53904	0	0	0	3	0	0	0	0	1	2	2	0	0	1	0	2	0	0	0	0	0	1	0	0	2	3	0	0	0	1	2	1	0	0	3	0
OTU_53905	0	0	0	0	5	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	1	1	0	2	16	1	5	3	0	1	13	7	0	0	0
OTU_53906	45	55	56	83	74	31	61	21	30	33	58	43	69	51	20	46	40	68	109	85	45	95	49	37	137	110	102	53	80	84	52	55	66	47	70	84
OTU_53911	1	0	0	0	7	3	3	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0
OTU_53912	5	4	3	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	3	4	0	4	2	0	6	0	3	1	0	2	0	0	12	0	0	0
OTU_53915	5	4	2	2	1	5	2	0	0	0	0	0	0	1	2	2	3	15	1	9	0	1	3	2	2	0	0	4	0	2	0	0	1	0	0	0
OTU_53917	64	21	0	0	0	0	39	9	11	14	20	13	5	14	35	13	0	0	15	0	15	71	39	20	16	10	13	11	26	3	8	3	41	3	51	4
OTU_53919	0	0	1	1	0	0	4	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	3	0	0	2	2	0	0	1	0	0
OTU_53921	0	0	0	0	1	0	0	1	0	0	2	3	2	1	1	0	0	0	1	0	1	2	1	0	1	0	7	1	0	1	0	1	1	0	0	3
OTU_53922	5	0	0	2	0	0	13	9	0	4	2	0	0	0	2	6	2	3	0	0	0	0	1	1	3	3	2	3	16	1	3	3	1	0	0	0
OTU_53942	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	2	1	0	1	0	0	0
OTU_53943	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	3	1	0	2	4	1	1	0	0
OTU_53945	0	1	0	3	6	1	0	1	0	0	1	5	2	1	0	1	1	10	1	1	0	0	1	1	2	2	3	3	1	2	1	1	1	2	6	4
OTU_53946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	5	0	0	0
OTU_53947	0	1	0	4	0	0	0	1	0	1	0	3	0	0	0	1	0	0	2	0	0	0	1	1	2	1	3	3	0	0	0	0	0	0	0	0
OTU_53948	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU_53949	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0
OTU_53951	0	0	0	5	1	0	0	1	0	0	0	0	0	7	0	0	1	2	0	6	0	0	0	1	1	0	0	0	1	1	1	0	1	0	3	3
OTU_53952	0	0	3	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	1	0	0	0	0	0
OTU_53954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53955	0	0	1	1	4	0	0	0	0	1	0	2	1	1	2	1	0	0	2	0	1	3	8	1	3	1	0	0	2	1	1	0	4	0	0	1
OTU_53957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU_53958	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0
OTU_53959	4	1	2	3	0	0	6	0	0	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0
OTU_53960	0	0	0	8	1	0	0	2	0	2	3	6	1	4	0	2	0	0	5	0	1	0	0	1	11	4	3	1	0	4	5	7	5	4	1	1
OTU_53964	0	0	0	11	0	5	0	1	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0
OTU_53966	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	2	0	0	2	4	0	5	4	0	1	2	2	0	2	4
OTU_53967	3	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	6	1	0	3	1	3	0	0	3	0	1	0
OTU_53969	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	3	0	7	0	0	2	0	2	0	0	2
OTU_53971	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_53972	0	1	1	3	0	0	0	0	1	2	0	0	0	6	1	1	0	0	0	2	0	6	2	0	3	1	0	1	2	0	0	0	1	0	3	0
OTU_53974	0	0	0	0	0	0	0	0	2	0	5	0	1	1	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU_53975	5	5	5	1	8	2	32	12	5	10	5	4	1	10	3	6	19	6	17	1	3	3	11	12	11	10	3	13	11	17	5	0	6	24	10	0
OTU_53976	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	6	2	1	1	0	1	0	7	2	0	0	2
OTU_53977	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0
OTU_53978	4	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	4	0	0	3	0	0	3	0	1	0	0	2	1	1	0	0	5	1	0	0
OTU_53980	5	4	3	4	0	0	0	0	1	0	0	0	0	0	0	2	0	4	1	0	0	0	2	1	1	3	0	1	0	3	1	0	3	0	0	0
OTU_53981	0	0	1	2	0	0	0	0	5	19	1	0	0	0	0	4	0	0	7	0	0	1	1	1	1	0	0	0	0	5	11	0	0	0	1	2
OTU_53982	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53983	1	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	1
OTU_53984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	2	0
OTU_53985	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	3	1	0	0	0	0	2
OTU_53986	0	0	0	10	0	1	0	2	0	3	0	0	0	1	0	1	0	0	0	0	1	2	0	1	5	1	2	1	1	2	0	2	1	0	4	1
OTU_53987	2	0	0	0	0	0	3	1	5	10	3	7	0	1	0	0	0	0	1	0	1	10	7	4	3	9	3	5	6	1	4	3	8	1	2	2
OTU_53990	0	0	0	2	2	1	0	0	3	0	3	0	7	9	0	4	0	1	1	1	0	0	0	2	0	0	1	3	0	1	6	1	0	0	7	2
OTU_53991	0	0	0	3	12	0	3	1	24	6	38	3	7	5	6	9	0	1	40	0	22	16	2	1	12	3	52	7	2	27	17	7	2	6	6	8
OTU_53993	0	3	2	6	4	1	1	2	1	1	3	4	1	3	7	6	0	1	1	3	2	1	1	0	14	4	3	3	2	1	3	7	11	1	4	0
OTU_53994	0	0	0	1	1	0	0	0	0	0	0	4	0	1	0	16	0	2	0	0	0	6	1	1	7	0	0	0	3	1	0	0	1	0	0	1
OTU_53995	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53996	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	1	0	0	1	0	0	2	0	0	1	5	2	5	5	0	1	2	8	0	0	0
OTU_53997	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_53998	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	2	1	0	0	2	1	2	1	0	2	0	1	0	1	1
OTU_53999	9	2	0	2	0	0	1	0	0	0	0	4	1	3	0	0	3	0	1	0	0	10	0	0	4	2	0	1	5	0	0	3	0	0	2	3
OTU_54000	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	3	1	1	1	0	0	0	2	6	0	0	0
OTU_54002	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
OTU_54004	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	3	1	0	0	0	1	0	0	2	2	0	4	2
OTU_54005	8	19	0	1	1	1	12	13	3	9	0	1	1	1	0	2	2	4	0	0	1	0	0	0	9	7	0	10	4	18	3	0	2	0	1	0
OTU_54009	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0
OTU_54010	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	4	6	0	1	4	6	4	0	0
OTU_54011	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	10	0	2	0	1	1	0	0	0
OTU_54012	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	1	0	0	0	0	0	0	3	2	0	0	2	0	0
OTU_54013	3	0	0	0	1	0	1	0	0	3	0	2	1	0	0	1	2	0	1	0	0	0	0	0	1	2	2	0	1	3	5	0	2	0	4	2
OTU_54014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54016	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_54017	0	0	0	0	2	0	2	0	0	1	2	3	1	2	1	2	0	0	4	0	1	0	0	0	31	10	3	4	2	6	3	14	14	6	1	10
OTU_54019	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	3	0	0	0	0	4	0	0	0	0	1	0	0	3	0	0	0
OTU_54021	1	1	3	0	2	0	5	0	0	0	3	2	0	0	1	0	2	0	1	0	0	0	6	0	1	0	1	0	4	0	0	3	1	2	3	3
OTU_54022	25	17	20	5	12	4	27	1	3	6	1	7	2	7	8	3	6	43	9	13	0	16	10	2	19	5	5	11	20	3	5	0	18	3	7	8
OTU_54027	0	0	2	0	0	0	0	1	0	1	0	4	0	0	0	1	0	2	0	0	2	32	0	0	3	0	0	0	0	1	0	1	0	0	1	0
OTU_54028	0	0	1	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	2	0	1	0	0	0	10	0	0	1	2	0	0	2	1	0	0	0
OTU_54029	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
OTU_54030	0	0	0	0	0	0	1	1	0	0	0	13	2	13	0	0	0	0	0	0	3	199	0	0	0	0	0	0	14	0	0	0	0	0	25	23
OTU_54031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	3	0
OTU_54033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54035	9	5	4	3	2	4	0	0	0	0	0	0	0	0	0	0	4	0	5	1	0	0	8	0	1	0	0	4	0	0	0	0	26	1	0	0
OTU_54039	2	0	6	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	6	0	0	0
OTU_54040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0
OTU_54041	2	6	4	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	7	0	0	2	0	5	0	0	0	0	3	4	0	3	0	0	0
OTU_54043	2	2	1	0	2	0	0	0	1	0	0	5	1	0	7	7	2	0	3	0	0	5	1	0	1	10	42	0	0	4	5	1	1	6	5	3
OTU_54049	0	0	2	1	3	1	2	0	0	1	1	3	0	1	0	0	0	0	1	0	0	4	1	0	15	0	0	8	2	0	0	3	3	0	0	0
OTU_54051	0	1	0	0	1	0	0	0	0	1	0	6	2	0	0	0	0	0	0	0	0	0	0	1	15	1	1	3	0	0	1	5	0	1	0	0
OTU_54053	11	1	1	0	1	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	3	0	3	4	1	0	2	0	8	3	0	6	1	0	4
OTU_54054	0	0	0	1	1	0	0	0	0	2	0	2	0	0	1	1	0	2	0	1	0	4	0	0	5	0	0	0	0	0	0	0	0	0	1	0
