Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_36396	20	111	68	258	458	69	8	24	15	49	29	153	384	184	3	187	12	158	196	72	19	30	156	65	417	529	808	267	234	85	154	185	143	284	241	612
OTU_36895	3	32	0	127	32	14	2	15	63	2	16	1	0	129	17	169	8	11	11	13	6	1	9	232	21	47	83	30	27	14	47	27	34	15	210	38
OTU_36987	315	163	262	143	32	12	503	49	17	5	202	41	0	6	131	48	61	337	31	73	17	84	81	21	382	43	74	60	400	65	23	391	191	19	667	1
OTU_37162	4	0	3	0	113	1	7	3	6	0	21	302	0	4	6	0	2	0	2	0	8	1	43	0	31	1398	120	263	73	8	144	924	237	15	5	25
OTU_37452	132	70	129	129	33	13	615	119	61	36	88	18	2	23	52	136	62	45	78	36	10	24	50	46	57	136	186	47	167	129	72	30	40	97	53	7
OTU_37576	64	49	22	11	9	4	66	17	5	4	26	7	10	35	12	49	12	39	13	13	3	8	2	7	119	19	29	28	36	58	28	9	169	43	131	45
OTU_37620	46	39	89	123	22	9	58	14	21	23	31	59	66	51	20	32	53	348	25	62	50	166	83	33	180	43	12	20	41	69	7	22	43	28	168	139
OTU_37716	19	25	22	68	31	15	25	6	4	3	3	16	2	18	13	25	19	222	9	74	3	35	10	13	115	22	12	21	18	58	6	8	34	19	62	4
OTU_37883	21	65	8	35	7	5	8	3	8	5	0	0	0	4	4	5	17	13	10	23	0	9	13	19	26	14	1	1	2	39	8	2	32	13	2	0
OTU_37940	6	5	1	4	25	27	14	3	13	18	56	38	17	20	32	35	4	61	19	71	21	142	17	7	3	11	29	3	3	19	3	22	11	7	194	23
OTU_38039	16	59	45	94	7	24	48	15	8	14	16	6	0	11	10	15	34	196	2	115	3	47	25	40	105	23	5	22	37	31	12	9	20	17	68	8
OTU_38113	12	2	9	26	72	11	25	63	34	349	43	89	20	11	9	36	16	3	60	7	48	62	10	13	413	149	110	137	64	173	89	82	109	121	72	85
OTU_38251	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
OTU_38289	106	42	21	17	17	0	86	10	19	8	11	3	7	6	18	53	17	10	41	10	1	10	44	3	26	265	128	23	93	38	18	16	73	80	10	33
OTU_38337	13	1	5	3	8	0	38	2	2	1	9	7	7	1	11	4	10	3	23	1	8	6	18	1	13	12	7	4	20	13	12	14	6	11	1	8
OTU_38390	7	4	29	58	34	12	32	4	86	161	36	27	101	129	137	196	2	212	6	4	68	366	243	102	107	115	52	17	6	15	61	44	5	2	51	237
OTU_38449	21	14	4	22	11	4	17	3	10	18	7	16	5	9	3	6	14	10	15	5	5	10	5	16	54	56	64	39	29	26	23	13	32	30	3	38
OTU_38495	1	0	12	40	39	1	4	4	89	47	153	4	117	82	39	67	5	1	224	1	46	27	18	10	43	14	156	7	7	116	82	50	11	15	47	63
OTU_38642	245	16	34	50	71	53	127	55	62	52	6	85	51	80	20	52	77	29	91	10	32	85	97	28	100	117	136	92	86	181	129	39	191	84	82	57
OTU_38747	2	0	1	8	3	0	1	4	0	33	10	100	2	5	4	0	2	0	7	1	15	63	2	3	151	22	44	64	29	16	15	28	22	44	11	94
OTU_38777	22	10	1	4	2	8	6	7	3	4	0	31	61	5	1	5	16	54	1	5	18	78	0	0	6	6	14	9	78	24	90	0	9	22	4	199
OTU_38812	15	9	63	73	7	20	53	13	11	11	57	32	6	28	17	19	15	275	6	55	10	47	15	13	147	25	37	14	201	31	11	58	57	8	345	112
OTU_38896	102	53	55	25	57	22	109	16	12	10	43	29	20	12	26	24	48	60	21	82	13	138	35	9	94	29	22	28	110	42	22	29	156	29	97	48
OTU_38948	8	0	18	17	103	0	19	3	34	26	107	34	229	38	8	1	5	2	59	1	102	161	25	5	12	17	26	12	26	13	25	46	9	3	39	139
OTU_38996	34	0	19	2	6	0	0	1	2	13	1	0	0	0	1	0	0	0	15	0	0	0	1	0	19	10	0	28	6	23	89	33	88	0	0	0
OTU_39043	330	57	80	20	76	31	221	6	59	19	37	26	7	7	123	21	86	24	105	21	15	100	158	15	300	136	71	118	150	27	57	39	632	46	45	28
OTU_39136	179	152	34	37	63	21	167	27	30	10	12	10	5	14	30	21	60	218	16	82	0	33	152	60	132	263	42	56	66	59	14	43	184	33	36	44
OTU_39246	19	1	0	0	527	26	571	15	0	0	1	8	0	0	0	0	0	0	0	0	6	95	4	0	0	1	0	12	1398	0	0	0	15	0	0	0
